Light:,"(n): Illumination, a source of illumination.",(v): To ignite or illuminate.,"(adj): Not heavy, gentle, or easy to lift.",,,,,,,,,
Wind:,"(n): Moving air, a twist or turn.",(n): a twist or turn.,"(v) To twist or turn, to change direction.",(adj): Referring to something influenced by the wind.,,,,,,,,
Dream:,"(n): A series of thoughts, images, and sensations occurring during sleep",(n): a cherished aspiration,(v): To experience dreams during sleep,(v): to have a strong desire for something.,(adj): Referring to something dreamlike or resembling a dream.,,,,,,,
Fire:,"(n): Combustion, a destructive event, or enthusiasm.",(n): enthusiasm or excitement,"(v): To ignite, to dismiss from a job",(v): To  dismiss from a job,"(adj): Burning, passionate, or intense.",(v): To excite or inspire.,"(adj): Burning, passionate, or intense.",,,,,
Tear:,(n): A drop of clear salty liquid secreted by glands in your eyes when you cry or as a result of irritation.,(v): To damage or pull apart by force.,(adj): Referring to something that is easily torn.,,,,,,,,,
Stream:,"(n): A small river or a continuous flow of liquid, gas, or particles.",(v): To flow in a continuous current.,(adj): Referring to something related to or resembling a stream.,,,,,,,,,
Storm:,"(n): Violent weather with strong winds, rain, thunder, and lightning",(n): a tumultuous disturbance.,(n): To move with force or to assault violently.,,,,,,,,,
Soul:,"(n): The immaterial essence of a person or living being, often associated with emotions and consciousness.",(v): To comfort or be a source of emotional support.,(adj): Referring to something deeply emotional or spiritual.,,,,,,,,,
Shade:,"(n): A shadow, a small variation or difference, or a color with added black.",(n):  a color with added black.,(v): To shield from light or to represent in a shadowy or exaggerated way.,(adj): Referring to something shady or partially obscured.,,,,,,,,
Bark:,(n): The sound a dog makes,(n): the protective outer covering of a tree.,(v): To make the sound a dog makes,(v): to shout loudly.,(adj): Referring to the texture or appearance of tree bark.,,,,,,,
Fall:,"(n): The season of the year, a sudden descent, or a decline.","(n): a sudden descent, or a decline.","(v): To descend from a higher position, to come to the ground, or to decrease in value.",(adj): Referring to something that happens during the season of fall.,,,,,,,,
Match:,(n): A small stick for igniting fires,(n): a game or contest,(n): something that corresponds or goes well with something else.,(v): To pair or correspond with something else,"(v): to compete against someone, or to equal or resemble something else.",(adj): Referring to something that is similar or corresponding to another thing.,,,,,,
Change:,(n): coins of a smaller denomination.,"(v): To make or become different, to exchange one thing for another, or to pass from one state to another.",(adj): Referring to something that has been altered or modified.,,,,,,,,,
Run:,(n): A fast pace or a series of consecutive occurrences.,"(v): To move quickly on foot, to operate or manage, or to flow.",(adj): Referring to something that is in operation or functioning.,,,,,,,,,
Lead:,(n): A heavy metal,(n): a position of advantage or guidance,(n): a type of pencil,"(v): To guide or direct, to be in charge or ahead of others, or to show the way.",(adj): Referring to something that is in a leading position.,,,,,,,
Close:,(n): The act of shutting something or a short distance.,"(v): To shut, to block or obstruct, or to approach nearer.",(adj): Referring to something near or lacking a wide opening.,,,,,,,,,
Model:,(n): A simplified representation of a complex system,(n): a person who sets an example,(n): a template.,(v): To create a representation or to serve as an example.,(adj): Referring to something that is typical or exemplary.,,,,,,,
Value:,(n): The worth of something,"(n):, a principle or standard",(n): a numerical quantitY,(v): To estimate or determine the worth of something or to hold in high regard.,(adj): Referring to something that is valuable or important.,,,,,,,
Function:,(n): The purpose or role of something,(n): a mathematical relationship,(n): a social event,(v): To perform a task or operate as intended,(adj): Referring to something that is functional or operational.,,,,,,,
Sign:,"(n): An indication, a symbol, or a mark.",(v): To communicate using gestures or symbols or to mark with a sign.,(adj): Referring to something that is indicative or significant.,,,,,,,,,
Case:,"(n): A situation, an instance",(n): a grammatical category for nouns and pronouns.,(v): To investigate or examine a particular situation.,(adj): Referring to something that is specific to a particular situation.,,,,,,,,
Effect:,"(n): A result or consequence, an impression, or the power to produce change.",(v): To bring about or achieve a result.,(adj): Referring to something that is effective or impactful.,,,,,,,,,
